word,meaningKo
individuality,개성
geologist,지질학자
generalization,일반화
mislead,"오도하다, 잘못 이끌다"
effortlessly,"쉽게, 노력 없이"
mathematician,수학자
inference,추론
ordinarily,"보통, 평상시에"
visualize,시각화하다
specialize,전문화하다
recollection,"회상, 기억"
imitate,모방하다
coworker,동료
beak,부리
overtake,"추월하다, 따라잡다"
instruct,"지시하다, 가르치다"
mammal,포유류
characterize,특징짓다
spontaneously,"자연스럽게, 자발적으로"
indifference,무관심
fiercely,"격렬하게, 사납게"
stun,"기절시키다, 놀라게 하다"
conserve,보존하다
graceful,우아한
authoritative,권위 있는
barren,"척박한, 불모의"
motif,"모티프, 주제"
helper,조력자
cultivate,"경작하다, 함양하다"
riddle,수수께끼
enthusiast,"열광적인 팬, 애호가"
imitation,모방
fungi,"균류, 곰팡이류"
boast,자랑하다
overlook,"간과하다, 내려다보다"
devote,"헌신하다, 바치다"
swiftly,신속하게
tuck,밀어 넣다
outsider,외부인
catastrophe,재앙
hardship,"고난, 어려움"
mastery,"숙달, 통달"
orchard,과수원
flaw,"결함, 결점"
meadow,"초원, 목초지"
soak,"담그다, 흠뻑 적시다"
empirical,"경험적인, 실증적인"
differentiate,"구별하다, 차별화하다"
metabolic,신진대사의
damp,축축한
paddy,"논, 벼"
assemble,"모으다, 조립하다"
amazingly,놀랍게도
undermine,약화시키다
accelerate,가속하다
morale,사기(士氣)
novelty,"참신함, 새로움"
suppress,"억압하다, 억제하다"
govern,"지배하다, 통치하다"
archaeological,고고학의
drown,익사하다
negatively,부정적으로
emission,배출(물)
comprehend,이해하다
limb,"팔다리, 사지"
illustrate,"예증하다, 설명하다"
routinely,일상적으로
impulse,충동
choke,"숨이 막히다, 질식시키다"
patron,"후원자, 단골"
unpaid,무급의
potent,강력한
appropriately,적절하게
initiate,"시작하다, 개시하다"
ironically,역설적이게도
utilize,활용하다
bind,"묶다, 결속시키다"
conception,"개념, 구상"
ideally,이상적으로
calculation,계산
neural,신경의
iris,"홍채, 붓꽃"
simplicity,단순함
occurrence,"발생, 사건"
exclude,제외하다
encouragement,격려
confront,"직면하다, 맞서다"
unrelated,무관한
sufficiently,충분히
extraction,추출
melody,선율
suburb,교외
stimulus,자극
geological,지질학적인
scent,"향기, 냄새"
accidental,우연한
applause,박수(갈채)
entertain,"즐겁게 하다, 대접하다"
allowance,"용돈, 수당"
fatigue,피로
regulate,"규제하다, 조절하다"
unacceptable,받아들일 수 없는
selective,선택적인
attachment,"애착, 부착"
plague,전염병; 괴롭히다
individually,개별적으로
scrap,"조각, 폐기물"
moisture,"습기, 수분"
verbal,"언어의, 구두의"
deployment,"배치, 배포"
terribly,"몹시, 지독하게"
gratitude,감사
profound,"심오한, 깊은"
philosophical,철학적인
sensitivity,"민감성, 감수성"
bargain,"흥정하다, 특가품"
purse,"지갑, 핸드백"
explicit,"명백한, 명시적인"
supposedly,"아마도, 소문에 의하면"
circulation,"순환, 유통"
polar,극지의
thereafter,그 후에
memorable,기억할 만한
caution,"조심, 경계"
insult,모욕하다
accommodate,수용하다
supplement,"보충하다, 보충물"
ignorance,무지
tablet,"정제, 태블릿"
effectiveness,"효과, 효율성"
protoplasm,원형질
remora,빨판상어
accustom,익숙하게 하다
pushup,팔굽혀펴기
domesticate,길들이다
moralist,도덕주의자
rumination,"반추, 곰곰이 생각함"
uneasily,불안하게
crystallize,"구체화되다, 결정화되다"
masterworks,걸작들
heckle,야유하다
randomization,무작위화
discursive,"산만한, 담화의"
individualist,개인주의자
shortsighted,근시안적인
overwork,"혹사하다, 과로"
metronome,메트로놈
expropriation,"수용, 몰수"
overstate,과장하다
enrol,등록하다
primeval,원시(시대)의
colonisation,"식민지화, (생물의) 이입"
intelligible,이해할 수 있는
dweller,거주자
etch,"새기다, 식각하다"
dislodge,"제거하다, 몰아내다"
scold,꾸짖다
conceit,"자만심, (문학적) 착상"
woodpecker,딱따구리
substantiate,입증하다
astonishment,놀라움
perceptual,지각의
embed,"끼워 넣다, 심다"
idiosyncratic,"특유의, 개성적인"
erupt,"분출하다, 폭발하다"
intently,"골똘히, 집중하여"
savor,음미하다
commercialization,상업화
veritable,"진정한, 참으로"
wobble,"흔들리다, 비틀거리다"
kerosene,등유
juncture,"국면, 시점"
mistrust,불신(하다)
corral,가축우리
suspiciously,의심스럽게
creatively,창의적으로
binoculars,쌍안경
dispense,"나누어주다, 조제하다"
spleen,비장
deteriorate,악화되다
intensify,"심화되다, 강화하다"
composure,"평정심, 침착"
soothe,"달래다, 진정시키다"
agreeable,"쾌적한, 기꺼이 동의하는"
enlarge,확대하다
plow,쟁기(질하다)
reconstruct,재구성하다
cripple,"불구로 만들다, 심각한 손상을 주다"
endanger,위태롭게 하다
enthusiastically,열정적으로
slum,빈민가
snowflake,눈송이
evoke,불러일으키다
proclaim,선언하다
coercion,강압
boardwalk,산책로
cholera,콜레라
reassure,안심시키다
prioritize,우선순위를 매기다
approximation,근사치
relativity,상대성
cognition,인지
sculptor,조각가
pinpoint,정확히 짚어내다
burr,"가시털, 까끄라기"
interpersonal,대인관계의
gland,"샘, 분비선"
compile,"편집하다, 수집하다"
vanish,사라지다
peril,위험
riff,(음악의) 반복 악절
heartbroken,상심한
solitude,고독
disparity,"차이, 격차"
expressive,표현이 풍부한
repertoire,"레퍼토리, 목록"
ache,"아프다, 통증"
torrent,"급류, 격류"
pouch,주머니
orient,"적응시키다, 방향을 맞추다"
environmentally,환경적으로
deprivation,"박탈, 결핍"
questionnaire,설문지
checklist,점검표
imaginative,상상력이 풍부한
gasp,"숨이 턱 막히다, 헐떡이다"
criterion,기준
irresistible,저항할 수 없는
speculate,추측하다
wink,윙크하다
monumental,"기념비적인, 엄청난"
dedicate,"헌신하다, 바치다"
canopy,"덮개, (숲의) 캐노피"
encyclopedia,백과사전
knowledgeable,아는 것이 많은
runoff,빗물 유출
pediatric,소아과의
downside,"부정적인 면, 단점"
oneself,자기 자신
induce,"유도하다, 설득하다"
superficial,피상적인
ambiguous,모호한
comprehension,이해(력)
visuals,시각 자료
poisonous,독이 있는
competence,"능력, 역량"
dorm,기숙사
rotate,회전하다
admiration,"감탄, 존경"
economical,경제적인
superiority,우월성
claw,발톱
cortex,피질
sponge,스펀지
indoors,실내에서
hostility,적대감
scarce,"부족한, 희귀한"
faulty,결함이 있는
peasant,"농민, 소작농"
align,"정렬시키다, 맞추다"
aggressively,공격적으로
seldom,좀처럼 ~않는
culturally,문화적으로
comet,혜성
inaccurate,부정확한
fuzzy,"흐릿한, 보풀이 인"
tangible,"유형의, 명백한"
outdated,구식의
mutually,상호간에
flock,"떼, 무리"
irrigation,관개
trench,"참호, 도랑"
appoint,임명하다
songwriter,작사가/작곡가
severity,심각성
wildly,"격렬하게, 매우"
intentional,의도적인
razor,면도기
knot,매듭
millionaire,백만장자
solitary,"혼자의, 고독한"
regain,되찾다
pneumonia,폐렴
ingredient,"재료, 성분"
exceptionally,"예외적으로, 매우"
upright,"똑바른, 곧은"
vivid,생생한
retailer,소매업자
pyramid,피라미드
predictable,예측 가능한
spatial,공간의
extinction,멸종
unusually,이례적으로
chop,"썰다, 자르다"
embarrassment,당혹감
vegetation,"초목, 식생"
parole,가석방
buffer,완충 장치
parental,부모의
traumatic,"충격적인, 정신적 외상의"
strap,"끈, 줄"
glue,"접착제, 풀"
explode,폭발하다
conductor,"지휘자, 안내자"
microwave,전자레인지
undergo,겪다
masterpiece,걸작
competitor,경쟁자
eclipse,"일식, 월식"
obesity,비만
intentionally,고의로
drift,표류하다
critique,"비평, 비판"
breakthrough,돌파구
inning,"이닝, 회(야구)"
enthusiastic,열정적인
bark,짖다; 나무껍질
niche,"틈새(시장), 적소"
arbitrary,임의적인
farther,더 멀리
gasoline,휘발유
lengthy,"긴, 장황한"
correlation,상관관계
irony,"역설, 아이러니"
prompt,"촉발하다, 즉각적인"
unaware,알지 못하는
hypothesis,가설
messy,지저분한
optimistic,낙관적인
gossip,"험담, 소문"
shiny,빛나는
unlock,"열다, 풀다"
coordination,"조정, 협응"
persistent,"끈질긴, 지속적인"
slope,경사(면)
beautifully,아름답게
indicator,지표
acre,에이커
robust,"튼튼한, 견고한"
dull,"따분한, 둔한"
wilderness,"황야, 자연 그대로의 지역"
tense,"긴장한, 시제"
absurd,"터무니없는, 불합리한"
renowned,유명한
revelation,"폭로, 뜻밖의 사실"
mandate,"위임, 명령"
thorough,철저한
freshman,신입생
steep,가파른
evident,명백한
negotiate,협상하다
freight,화물
neat,깔끔한
vaccine,백신
crude,"대략적인, 조잡한, 원유의"
preservation,보존
probability,"확률, 가능성"
flexibility,유연성
equation,"방정식, 등식"
remainder,나머지
elect,선출하다
orbit,궤도
buyer,구매자
sketch,"스케치, 개요"
magnificent,"장엄한, 훌륭한"
flavor,"맛, 풍미"
supportive,"지지하는, 도움을 주는"
measurement,"측정, 치수"
monumentality,기념비적 성격
surplice,중백의(성직자 의복)
splay,"벌리다, 펼치다"
presuppose,전제로 하다
meritocratic,능력주의의
nonchalance,"무관심, 냉담"
unsettle,동요시키다
intricacy,복잡함
pollinator,수분 매개자
compulsively,강박적으로
popularize,대중화하다
monopolize,독점하다
regretfully,유감스럽게도
attentively,주의 깊게
anesthesiology,마취학
acquaint,"익히게 하다, 숙지시키다"
droop,축 늘어지다
honeybee,꿀벌
vindicate,정당성을 입증하다
meritocracy,능력주의
enchant,매혹하다
irrigate,관개하다
millisecond,1000분의 1초
halve,반으로 줄이다
lyre,리라(현악기)
hardwired,"타고난, 내장된"
regress,퇴보하다
wildflower,야생화
photocopy,복사(하다)
entitle,"자격을 주다, 제목을 붙이다"
fugue,"푸가, 서곡"
biome,생물군계
abatement,"감소, 완화"
unconcerned,무관심한
immediacy,즉시성
enclose,"둘러싸다, 동봉하다"
reciprocate,"화답하다, 보답하다"
osmosis,삼투(작용)
multifaceted,다면적인
overestimate,과대평가하다
necessitate,필요하게 만들다
precede,"선행하다, 앞서다"
tingle,따끔거리다
imprison,투옥하다
biosphere,생물권
geometrical,기하학적인
pelt,"가죽, 모피"
mangrove,맹그로브
expend,"소비하다, 쓰다"
snub,"무시하다, 냉대하다"
nonpartisan,초당파적인
alumnus,"졸업생, 동문"
categorize,분류하다
confine,"국한시키다, 가두다"
underprivileged,"혜택을 못 받는, 불우한"
impair,손상시키다
chewy,쫄깃한
thump,쿵 소리를 내다
lexical,어휘의
aristocrat,귀족
unresponsive,반응하지 않는
individualism,개인주의
innovator,혁신가
decode,해독하다
graze,"풀을 뜯다, 방목하다"
improvise,즉흥적으로 하다
olfactory,후각의
stave,"막다, 저지하다"
cramp,경련
utilitarian,"공리주의의, 실용적인"
persistently,끈질기게
unruly,"제멋대로인, 다루기 힘든"
evaporation,증발
humiliate,굴욕감을 주다
tirelessly,지칠 줄 모르고
gravely,심각하게
oblige,"의무를 지우다, 돕다"
tactile,촉각의
flicker,깜박거리다
pellet,"알갱이, 작은 덩어리"
predictor,예측 변수
wondrous,경이로운
wetland,습지
furnish,"비치하다, 갖추다"
displeasure,불쾌감
outburst,"폭발, 분출"
astronomer,천문학자
socialize,"사회화하다, 어울리다"
pathogen,병원균
circulate,"순환하다, 유통되다"
delicacy,"섬세함, 진미"
imposition,"부과, 강요"
curiously,"신기하게도, 호기심에"
entail,"수반하다, 내포하다"
craftsman,"장인, 기능공"
homogeneous,동질적인
inorganic,무기물의
fragmentation,"분열, 파편화"
discern,"식별하다, 분간하다"
summarize,요약하다
liberate,해방시키다
payoff,"보상, 이득"
equator,적도
outweigh,"능가하다, ~보다 더 크다"
faithfully,충실하게
reassurance,안심시킴
encompass,"포함하다, 아우르다"
youngster,"젊은이, 아이"
eyesight,시력
allocate,할당하다
baroque,바로크 양식의
sideline,"부업, 사이드라인"
syllable,음절
eyewitness,목격자
hardwood,"활엽수, 단단한 목재"
shortcut,지름길
awaken,"깨우다, 일깨우다"
undesirable,바람직하지 않은
souvenir,기념품
intrigue,"흥미를 불러일으키다, 음모"
hallmark,"특징, 특질"
identifiable,식별 가능한
elevate,"높이다, 승격시키다"
rhythmic,리듬감 있는
evade,"피하다, 회피하다"
hinder,방해하다
overflow,넘치다
soar,"치솟다, 급증하다"
newcomer,새로 온 사람
conceive,"상상하다, 임신하다"
coarse,거친
artifact,"인공물, 유물"
verbally,"언어로, 구두로"
physicist,물리학자
fertilizer,비료
defy,"저항하다, 거역하다"
enact,"제정하다, 규정하다"
stereotype,고정관념
reluctantly,마지못해
unfold,"펼쳐지다, 전개되다"
stabilize,안정시키다
roam,돌아다니다
plight,"곤경, 어려운 처지"
mitigation,"완화, 경감"
existential,실존적인
vaguely,막연하게
pollen,꽃가루
innate,"타고난, 선천적인"
teamwork,"협동, 팀워크"
wrestle,"씨름하다, 몸싸움하다"
intellect,"지성, 지적 능력"
tariff,관세
unconditional,무조건적인
cling,"매달리다, 집착하다"
odor,냄새
mimic,흉내내다
hive,벌집
overload,과부하를 주다
equip,갖추게 하다
profitability,수익성
synonymous,"동의어의, 같은 뜻의"
inexperienced,경험이 부족한
consciously,의식적으로
provoke,"유발하다, 자극하다"
profoundly,"깊이, 심오하게"
accessibility,접근성
oversee,감독하다
usher,"안내하다, 이끌다"
prohibit,금지하다
aloud,소리 내어
ultrasound,초음파
quotation,인용(문)
outward,"겉으로 드러난, 외부의"
stricken,"고통받는, 시달리는"
sensational,"선풍적인, 세간의 이목을 끄는"
conceal,"숨기다, 감추다"
curl,"곱슬거리다, 말다"
flourish,번성하다
recess,"휴식, 휴회"
persist,"지속하다, 고집하다"
rebound,"되튀다, 반등하다"
maneuver,"책략, 조작하다"
mitigate,완화하다
invaluable,매우 귀중한
prevail,"만연하다, 우세하다"
intricate,"복잡한, 정교한"
portrayal,"묘사, 표현"
follower,"추종자, 팔로워"
blush,얼굴을 붉히다
calmly,침착하게
repetitive,반복적인
latitude,"위도, 허용 범위"
dwell,"거주하다, 머무르다"
satisfactory,만족스러운
willingly,기꺼이
similarity,유사성
vibration,진동
compatibility,"양립성, 호환성"
courageous,용감한
multitude,"다수, 대다수"
authenticity,"진정성, 진짜임"
breathtaking,숨이 멎을 듯한
emerald,"에메랄드, 짙은 녹색"
agony,"고통, 괴로움"
internship,인턴십
filmmaker,영화 제작자
vastly,"대단히, 엄청나게"
paradox,역설
cultivation,"경작, 재배, 함양"
reproduce,"재생하다, 번식하다"
temporal,"시간의, 세속적인"
gigantic,거대한
reconsider,재고하다
mileage,"주행거리, 마일리지"
viewpoint,관점
hugely,엄청나게
chord,"화음, 코드"
