day,category,title,main,answer_or_note
21,vocab,malfunction,"오작동, 오작동하다",A sensor malfunction caused the production line to stop.
21,expression,confirm availability,이용 가능 여부를 확인하다,Call the venue to confirm availability before sending invitations.
21,sentence,Day 21 암기문장,Employees who work remotely must update their contact information.,정답 문장: Employees who work remotely must update their contact information.
21,grammar,관계대명사 who,사람을 선행사로 하고 주어 역할을 하면 who를 씁니다.,선행사 Employees를 받고 관계절의 주어 역할을 하므로 who입니다.
21,practice,Part 5 실전문제,Employees _____ work remotely must update their contact information.,who
22,vocab,procurement,"조달, 구매",The procurement department is evaluating several suppliers.
22,expression,submit an application,신청서를 제출하다,Candidates must submit an application by Friday.
22,sentence,Day 22 암기문장,"The report, which was released yesterday, contains revised sales figures.","정답 문장: The report, which was released yesterday, contains revised sales figures."
22,grammar,관계대명사 which,사물을 선행사로 하면 which가 적합합니다.,선행사 report를 받는 계속적 용법의 which가 맞습니다.
22,practice,Part 5 실전문제,"The report, _____ was released yesterday, contains revised sales figures.",which
23,vocab,itinerary,여행 일정표,Your final itinerary will be sent by e-mail tomorrow.
23,expression,undergo renovation,보수 공사를 받다,The lobby will undergo renovation throughout July.
23,sentence,Day 23 암기문장,The consultant whose recommendations were adopted will return next month.,정답 문장: The consultant whose recommendations were adopted will return next month.
23,grammar,관계대명사 whose,소유 관계를 나타낼 때 whose를 사용합니다.,recommendations의 소유자를 나타내므로 whose가 맞습니다.
23,practice,Part 5 실전문제,The consultant _____ recommendations were adopted will return next month.,whose
24,vocab,concession,"양보, 할인 혜택",The landlord offered a rent concession during the renovation period.
24,expression,waive a fee,수수료를 면제하다,The hotel agreed to waive the cancellation fee.
24,sentence,Day 24 암기문장,The company opened a service center where customers can test new products.,정답 문장: The company opened a service center where customers can test new products.
24,grammar,관계부사 where,장소 선행사 뒤에서 완전한 문장을 이끌면 where를 씁니다.,service center는 장소이며 뒤 문장이 완전하므로 where가 맞습니다.
24,practice,Part 5 실전문제,The company opened a service center _____ customers can test new products.,where
25,vocab,endorse,"승인하다, 지지하다",The board unanimously endorsed the revised proposal.
25,expression,renew a subscription,구독을 갱신하다,Subscribers can renew their subscription through the mobile app.
25,sentence,Day 25 암기문장,Customers wishing to cancel a reservation must call before 6 P.M.,정답 문장: Customers wishing to cancel a reservation must call before 6 P.M.
25,grammar,축약 관계절: 현재분사,능동 의미의 관계절은 현재분사로 축약할 수 있습니다.,who wish가 축약된 능동 현재분사 wishing이 맞습니다.
25,practice,Part 5 실전문제,Customers _____ to cancel a reservation must call before 6 P.M.,wishing
26,vocab,rectify,바로잡다,The accounting team acted quickly to rectify the billing error.
26,expression,remain in effect,계속 유효하다,The warranty will remain in effect until the end of the year.
26,sentence,Day 26 암기문장,The products featured in this catalog are available only online.,정답 문장: The products featured in this catalog are available only online.
26,grammar,축약 관계절: 과거분사,수동 의미의 관계절은 과거분사로 축약할 수 있습니다.,products가 소개되는 수동 관계이므로 featured가 맞습니다.
26,practice,Part 5 실전문제,The products _____ in this catalog are available only online.,featured
27,vocab,retain,"유지하다, 보유하다",The company introduced flexible hours to retain experienced staff.
27,expression,at no additional charge,추가 비용 없이,Breakfast is available to all guests at no additional charge.
27,sentence,Day 27 암기문장,The director confirmed that the new policy would begin in October.,정답 문장: The director confirmed that the new policy would begin in October.
27,grammar,명사절 that,완전한 문장을 목적어로 이끄는 접속사 that을 사용합니다.,confirmed의 목적어로 완전한 절을 이끄는 that이 맞습니다.
27,practice,Part 5 실전문제,The director confirmed _____ the new policy would begin in October.,that
28,vocab,expedite,신속히 처리하다,Please provide the order number so that we can expedite your request.
28,expression,subject to change,변경될 수 있는,The schedule is subject to change without prior notice.
28,sentence,Day 28 암기문장,Please tell the technician what happened before the system shut down.,정답 문장: Please tell the technician what happened before the system shut down.
28,grammar,명사절 what,what은 ‘the thing that’ 의미로 절 안에서 성분 역할을 합니다.,happened의 주어이면서 ‘무슨 일이’라는 뜻의 what이 맞습니다.
28,practice,Part 5 실전문제,Please tell the technician _____ happened before the system shut down.,what
29,vocab,inquire,문의하다,Several customers called to inquire about the warranty policy.
29,expression,prior to,~에 앞서,All equipment must be inspected prior to use.
29,sentence,Day 29 암기문장,The committee discussed whether to approve the proposal immediately.,정답 문장: The committee discussed whether to approve the proposal immediately.
29,grammar,whether와 if,전치사 뒤에서는 whether가 자연스럽습니다.,whether + to부정사 구조가 맞습니다.
29,practice,Part 5 실전문제,The committee discussed whether _____ the proposal immediately.,to approve
30,vocab,vacancy,"공석, 빈방",The hotel has no vacancies during the holiday weekend.
30,expression,no later than,늦어도 ~까지,Expense reports must be submitted no later than Monday.
30,sentence,Day 30 암기문장,Could you explain why the shipment was delayed?,정답 문장: Could you explain why the shipment was delayed?
30,grammar,간접의문문 어순,간접의문문은 의문사 뒤에 평서문 어순을 씁니다.,why 뒤에는 주어 + 동사의 평서문 어순이 필요합니다.
30,practice,Part 5 실전문제,Could you explain why the shipment _____ delayed?,was
31,vocab,orientation,"오리엔테이션, 적응 교육",New hires must attend an orientation on Monday morning.
31,expression,as soon as possible,가능한 한 빨리,Please return the signed document as soon as possible.
31,sentence,Day 31 암기문장,"Although the forecast predicted rain, the outdoor event continued as planned.","정답 문장: Although the forecast predicted rain, the outdoor event continued as planned."
31,grammar,접속사 although,although 뒤에는 주어와 동사가 있는 절이 옵니다.,뒤에 완전한 절이 있으므로 접속사 Although가 맞습니다.
31,practice,Part 5 실전문제,"_____ the forecast predicted rain, the outdoor event continued as planned.",Although
32,vocab,appraisal,"평가, 감정",Annual performance appraisals will begin next week.
32,expression,be scheduled to,~할 예정이다,The new branch is scheduled to open in October.
32,sentence,Day 32 암기문장,"Despite a temporary power outage, the store remained open.","정답 문장: Despite a temporary power outage, the store remained open."
32,grammar,전치사 despite,despite 뒤에는 명사구가 옵니다.,뒤에 명사구가 있으므로 전치사 Despite가 맞습니다.
32,practice,Part 5 실전문제,"_____ a temporary power outage, the store remained open.",Despite
33,vocab,incentive,"장려책, 성과급",The sales incentive is designed to reward top performers.
33,expression,be expected to,~할 것으로 예상되다,Demand is expected to increase during the holiday season.
33,sentence,Day 33 암기문장,The delivery was postponed because the roads were closed.,정답 문장: The delivery was postponed because the roads were closed.
33,grammar,because와 because of,"because 뒤에는 절, because of 뒤에는 명사구가 옵니다.",뒤에 주어와 동사가 있으므로 because가 맞습니다.
33,practice,Part 5 실전문제,The delivery was postponed _____ the roads were closed.,because
34,vocab,turnover,"이직률, 매출액, 회전율",Improved benefits helped reduce employee turnover.
34,expression,be likely to,~할 가능성이 높다,Prices are likely to remain stable this quarter.
34,sentence,Day 34 암기문장,Visitors must wear identification badges while they are in the laboratory.,정답 문장: Visitors must wear identification badges while they are in the laboratory.
34,grammar,while와 during,"while 뒤에는 절, during 뒤에는 명사가 옵니다.",뒤에 주어와 동사가 있으므로 while이 맞습니다.
34,practice,Part 5 실전문제,Visitors must wear identification badges _____ they are in the laboratory.,while
35,vocab,surplus,"잉여, 초과분",The store donated its surplus inventory to a local charity.
35,expression,in the event of,~의 경우에,"In the event of an emergency, use the nearest exit."
35,sentence,Day 35 암기문장,Your reservation will be canceled unless payment is received by noon.,정답 문장: Your reservation will be canceled unless payment is received by noon.
35,grammar,unless,unless는 ‘if not’의 의미입니다.,정오까지 지급되지 않으면 취소된다는 의미이므로 unless가 맞습니다.
35,practice,Part 5 실전문제,Your reservation will be canceled _____ payment is received by noon.,unless
36,vocab,deficit,"적자, 부족액",The department reduced its budget deficit by cutting unnecessary expenses.
36,expression,at the request of,~의 요청으로,The meeting was postponed at the request of the client.
36,sentence,Day 36 암기문장,"Employees may work from home, provided that they remain available during business hours.","정답 문장: Employees may work from home, provided that they remain available during business hours."
36,grammar,provided that,조건을 나타내는 provided that을 익힙니다.,뒤 조건이 충족되는 경우 허용된다는 의미입니다.
36,practice,Part 5 실전문제,"Employees may work from home, _____ they remain available during business hours.",provided that
37,vocab,shipment,"선적품, 배송",The shipment was delayed because of severe weather.
37,expression,with regard to,~에 관하여,I am contacting you with regard to your recent inquiry.
37,sentence,Day 37 암기문장,Please submit the revised draft by 5 P.M. on Wednesday.,정답 문장: Please submit the revised draft by 5 P.M. on Wednesday.
37,grammar,until과 by,"by는 기한까지 완료, until은 그때까지 지속입니다.",제출 완료의 마감 시점을 나타내므로 by가 맞습니다.
37,practice,Part 5 실전문제,Please submit the revised draft _____ 5 P.M. on Wednesday.,by
38,vocab,consignment,"위탁 판매품, 탁송품",The consignment arrived at the distribution center this morning.
38,expression,in addition to,~에 더하여,"In addition to salary, the position includes travel benefits."
38,sentence,Day 38 암기문장,The museum has offered free admission for three consecutive years.,정답 문장: The museum has offered free admission for three consecutive years.
38,grammar,since와 for,for 뒤에는 기간이 옵니다.,three consecutive years는 기간이므로 for가 맞습니다.
38,practice,Part 5 실전문제,The museum has offered free admission _____ three consecutive years.,for
39,vocab,warehouse,창고,The products are stored in a temperature-controlled warehouse.
39,expression,regardless of,~와 관계없이,The discount applies regardless of the order size.
39,sentence,Day 39 암기문장,All participants must register online prior to arrival at the venue.,정답 문장: All participants must register online prior to arrival at the venue.
39,grammar,before와 prior to,prior to는 전치사로 명사/동명사를 취합니다.,prior to 뒤에는 명사 arrival이 맞습니다.
39,practice,Part 5 실전문제,All participants must register online prior to _____ at the venue.,arrival
40,vocab,invoice,"송장, 청구서",Please review the invoice before authorizing payment.
40,expression,according to,~에 따르면,"According to the report, online sales grew by twelve percent."
40,sentence,Day 40 암기문장,The award was divided among the three project teams.,정답 문장: The award was divided among the three project teams.
40,grammar,between와 among,"둘 사이에는 between, 셋 이상 집단에는 among을 씁니다.",세 팀 집단 사이의 분배이므로 among이 자연스럽습니다.
40,practice,Part 5 실전문제,The award was divided _____ the three project teams.,among
41,vocab,overdue,"기한이 지난, 연체된",A reminder was sent regarding the overdue payment.
41,expression,by means of,~을 이용하여,The documents were transmitted by means of a secure server.
41,sentence,Day 41 암기문장,Employees can access the archive by means of a secure online portal.,정답 문장: Employees can access the archive by means of a secure online portal.
41,grammar,전치사 by means of,수단을 나타내는 격식 표현입니다.,보안 포털이라는 수단을 나타내므로 by means of가 맞습니다.
41,practice,Part 5 실전문제,Employees can access the archive _____ a secure online portal.,by means of
42,vocab,waive,"면제하다, 포기하다",The bank agreed to waive the transaction fee.
42,expression,for the purpose of,~할 목적으로,The data were collected for the purpose of improving service quality.
42,sentence,Day 42 암기문장,The store extended its hours in response to repeated customer requests.,정답 문장: The store extended its hours in response to repeated customer requests.
42,grammar,전치사 in response to,반응의 대상 앞에 씁니다.,고객 요청에 대응하여 연장했다는 의미입니다.
42,practice,Part 5 실전문제,The store extended its hours _____ repeated customer requests.,in response to
43,vocab,exempt,"면제된, 면제하다",Certain nonprofit organizations are exempt from the tax.
43,expression,with the exception of,~을 제외하고,"All offices will be open, with the exception of the downtown branch."
43,sentence,Day 43 암기문장,"The initial estimate was low; however, material costs rose sharply during construction.","정답 문장: The initial estimate was low; however, material costs rose sharply during construction."
43,grammar,접속부사 however,접속부사는 앞뒤 문장 관계를 논리적으로 연결합니다.,예상과 반대되는 사실을 연결하므로 however가 맞습니다.
43,practice,Part 5 실전문제,"The initial estimate was low; _____, material costs rose sharply during construction.",however
44,vocab,adjacent,인접한,Additional parking is available in the lot adjacent to the building.
44,expression,in advance,미리,Participants should register at least one week in advance.
44,sentence,Day 44 암기문장,"The shipment arrived after the deadline; therefore, the client refused delivery.","정답 문장: The shipment arrived after the deadline; therefore, the client refused delivery."
44,grammar,접속부사 therefore,원인에 따른 결과에는 therefore를 사용합니다.,지연 도착의 결과로 수령을 거부했으므로 therefore입니다.
44,practice,Part 5 실전문제,"The shipment arrived after the deadline; _____, the client refused delivery.",therefore
45,vocab,complimentary,"무료의, 칭찬하는",Guests receive a complimentary breakfast each morning.
45,expression,on short notice,촉박한 통보로,Thank you for attending the meeting on such short notice.
45,sentence,Day 45 암기문장,"The new printer is faster than the previous model; moreover, it uses less energy.","정답 문장: The new printer is faster than the previous model; moreover, it uses less energy."
45,grammar,접속부사 moreover,같은 방향의 추가 정보에는 moreover를 씁니다.,추가 장점을 덧붙이므로 moreover가 맞습니다.
45,practice,Part 5 실전문제,"The new printer is faster than the previous model; _____, it uses less energy.",moreover
46,vocab,amenity,편의시설,The renovated fitness center is one of the hotel’s most popular amenities.
46,expression,at your convenience,편하실 때,Please review the proposal at your convenience.
46,sentence,Day 46 암기문장,The voucher may be used at any branch as long as it has not expired.,정답 문장: The voucher may be used at any branch as long as it has not expired.
46,grammar,조건 as long as,필요 조건을 나타냅니다.,유효기간이 지나지 않았다는 조건입니다.
46,practice,Part 5 실전문제,The voucher may be used at any branch _____ it has not expired.,as long as
47,vocab,occupancy,"점유, 객실 점유율",Hotel occupancy reached ninety percent in July.
47,expression,within walking distance,도보 거리 내에,The hotel is within walking distance of the convention center.
47,sentence,Day 47 암기문장,Please label each box clearly so that it can be delivered to the correct department.,정답 문장: Please label each box clearly so that it can be delivered to the correct department.
47,grammar,목적 so that,목적을 나타내는 so that 뒤에는 절이 옵니다.,정확한 부서로 배송되도록 하는 목적입니다.
47,practice,Part 5 실전문제,Please label each box clearly _____ it can be delivered to the correct department.,so that
48,vocab,reservation,예약,We recommend making a reservation at least two weeks in advance.
48,expression,in compliance with,~을 준수하여,The facility was upgraded in compliance with new regulations.
48,sentence,Day 48 암기문장,"Even though the restaurant was fully booked, the manager found us a table.","정답 문장: Even though the restaurant was fully booked, the manager found us a table."
48,grammar,양보 even though,강한 양보 관계를 나타냅니다.,만석이었음에도 자리를 마련했다는 양보 관계입니다.
48,practice,Part 5 실전문제,"_____ the restaurant was fully booked, the manager found us a table.",Even though
49,vocab,cancellation,취소,A cancellation fee applies to appointments missed without notice.
49,expression,in excess of,~을 초과하여,Orders in excess of $500 qualify for free shipping.
49,sentence,Day 49 암기문장,Several employees were surprised by the sudden policy change.,정답 문장: Several employees were surprised by the sudden policy change.
49,grammar,분사형용사 -ed/-ing,"사람의 감정은 -ed, 감정을 유발하는 대상은 -ing가 일반적입니다.",직원이 놀란 감정을 느끼므로 surprised가 맞습니다.
49,practice,Part 5 실전문제,Several employees were _____ by the sudden policy change.,surprised
50,vocab,venue,행사 장소,The organizers selected a larger venue for the annual banquet.
50,expression,on a regular basis,정기적으로,Safety equipment is inspected on a regular basis.
50,sentence,Day 50 암기문장,The company is seeking candidates with extensive experience in international sales.,정답 문장: The company is seeking candidates with extensive experience in international sales.
50,grammar,형용사 자리: extensive experience,전치사 with 뒤의 명사구에서 명사 experience를 수식하는 형용사가 필요합니다.,명사 experience를 수식하는 형용사 extensive가 필요합니다. extensively는 부사입니다.
50,practice,Part 5 실전문제,The company is seeking candidates with _____ experience in international sales.,extensive
51,vocab,keynote,"기조연설, 기조의",The keynote speaker will discuss trends in renewable energy.
51,expression,under warranty,보증기간 중인,Repairs are free while the device is under warranty.
51,sentence,Day 51 암기문장,Only applications received before the deadline will be considered.,정답 문장: Only applications received before the deadline will be considered.
51,grammar,과거분사 수식,수동·완료 의미의 명사 수식에는 과거분사를 씁니다.,applications가 접수되는 대상이므로 received가 맞습니다.
51,practice,Part 5 실전문제,Only applications _____ before the deadline will be considered.,received
52,vocab,attendee,참석자,Each attendee will receive a name badge at registration.
52,expression,out of stock,품절된,The item is temporarily out of stock.
52,sentence,Day 52 암기문장,The committee postponed making a final decision until more data were available.,정답 문장: The committee postponed making a final decision until more data were available.
52,grammar,동명사 목적어,"avoid, consider, postpone 뒤에는 동명사가 옵니다.",postpone 뒤에는 동명사 making이 맞습니다.
52,practice,Part 5 실전문제,The committee postponed _____ a final decision until more data were available.,making
53,vocab,agenda,"의제, 일정표",The revised agenda includes a discussion of the new policy.
53,expression,in high demand,수요가 많은,Larger conference rooms are in high demand this month.
53,sentence,Day 53 암기문장,The retailer plans to open two additional locations next year.,정답 문장: The retailer plans to open two additional locations next year.
53,grammar,to부정사 목적어,"plan, decide, hope 뒤에는 to부정사가 옵니다.",plan to do 구조가 맞습니다.
53,practice,Part 5 실전문제,The retailer plans _____ two additional locations next year.,to open
54,vocab,postpone,연기하다,The committee postponed the vote until additional data became available.
54,expression,in good condition,상태가 좋은,Please return the equipment in good condition.
54,sentence,Day 54 암기문장,The organization is committed to improving workplace safety.,정답 문장: The organization is committed to improving workplace safety.
54,grammar,전치사 to와 동명사,be committed to의 to는 전치사입니다.,전치사 to 뒤에 동명사 improving이 맞습니다.
54,practice,Part 5 실전문제,The organization is committed to _____ workplace safety.,improving
55,vocab,reschedule,일정을 다시 잡다,We need to reschedule the interview for Thursday afternoon.
55,expression,at a reduced rate,할인된 요금으로,Members can attend the seminar at a reduced rate.
55,sentence,Day 55 암기문장,The new policy allows employees to carry unused vacation days to the next year.,정답 문장: The new policy allows employees to carry unused vacation days to the next year.
55,grammar,목적격 보어 to부정사,allow 사람 to do 구조를 익힙니다.,allow + 목적어 + to부정사 구조입니다.
55,practice,Part 5 실전문제,The new policy allows employees _____ unused vacation days to the next year.,to carry
56,vocab,notify,통지하다,Applicants will be notified of the results by Friday.
56,expression,make arrangements,"준비하다, 조정하다",Our assistant will make arrangements for airport transportation.
56,sentence,Day 56 암기문장,The unexpected delay made the team revise the entire schedule.,정답 문장: The unexpected delay made the team revise the entire schedule.
56,grammar,사역동사 make,make + 목적어 + 동사원형을 씁니다.,사역동사 make 뒤의 목적격 보어는 동사원형입니다.
56,practice,Part 5 실전문제,The unexpected delay made the team _____ the entire schedule.,revise
57,vocab,implement,"시행하다, 구현하다",The company will implement the new security procedure next month.
57,expression,take into account,~을 고려하다,The committee will take customer feedback into account.
