category,number,title,body,meta,options,answer,explanation
quote,17,좋은 하루는 모든 일이 잘된 날이 아니라 중심을 잃지 않은 날이다.,예상 밖의 일이 생겨도 가장 중요한 가치로 돌아오세요.,균형형 문장 · 자체 작성,,,
quote,18,감정은 사실을 알려주기도 하지만 결론을 대신하지는 않는다.,느낌을 존중하되 판단은 근거와 함께 세우세요.,판단형 문장 · 자체 작성,,,
quote,19,한 번의 큰 노력보다 오래 지속할 수 있는 방식이 강하다.,무리한 계획보다 반복 가능한 분량을 정하세요.,지속형 문장 · 자체 작성,,,
quote,20,거절은 관계를 끊는 말이 아니라 경계를 설명하는 말이 될 수 있다.,상대를 존중하면서도 가능한 범위를 분명히 전하세요.,관계형 문장 · 자체 작성,,,
quote,21,답이 보이지 않을 때는 질문을 바꾸어 보라.,왜 안 되는지만 묻지 말고 지금 가능한 것이 무엇인지 물어보세요.,전환형 문장 · 자체 작성,,,
quote,22,작은 친절은 짧지만 오래 기억된다.,오늘 만나는 사람에게 구체적인 감사 한마디를 건네보세요.,관계형 문장 · 자체 작성,,,
quote,23,할 일이 많을수록 시작 기준은 단순해야 한다.,중요도와 마감일 두 가지만으로 먼저 순서를 정하세요.,정리형 문장 · 자체 작성,,,
quote,24,후회는 과거를 바꾸지 못하지만 다음 선택을 정교하게 만든다.,자책보다 배운 점과 다음 행동을 적어보세요.,성찰형 문장 · 자체 작성,,,
quote,25,집중은 방해가 없는 상태보다 방해에서 돌아오는 능력이다.,흐트러졌다는 사실을 알아차리면 다시 한 가지 일로 돌아오세요.,집중형 문장 · 자체 작성,,,
quote,26,당장 보이지 않는 성장은 반복 속에서 조용히 쌓인다.,결과가 늦어도 과정이 올바른지 점검하며 계속하세요.,성장형 문장 · 자체 작성,,,
quote,27,좋은 계획은 바뀌지 않는 계획이 아니라 현실에 맞게 수정되는 계획이다.,목표는 지키되 방법은 상황에 따라 조정하세요.,계획형 문장 · 자체 작성,,,
quote,28,마감은 압박이 아니라 선택을 돕는 경계가 될 수 있다.,남은 시간 안에 꼭 필요한 결과가 무엇인지 먼저 정하세요.,실행형 문장 · 자체 작성,,,
quote,29,칭찬은 결과보다 구체적인 노력을 알아볼 때 힘이 된다.,무엇을 잘했는지 정확히 말해 주면 상대가 다시 시도할 수 있습니다.,관계형 문장 · 자체 작성,,,
quote,30,불편한 대화도 미루면 더 무거워진다.,"사실, 영향, 요청의 순서로 차분하게 말해보세요.",소통형 문장 · 자체 작성,,,
quote,31,정보가 많을수록 기준이 필요하다.,"출처, 날짜, 근거를 확인하면 소음에서 핵심을 가릴 수 있습니다.",판단형 문장 · 자체 작성,,,
quote,32,용기는 두려움이 없는 상태가 아니라 두려움 속에서도 움직이는 선택이다.,완전히 안심될 때까지 기다리지 말고 안전한 한 걸음을 내디뎌 보세요.,용기형 문장 · 자체 작성,,,
quote,33,끝내는 능력은 새로 시작하는 능력만큼 중요하다.,오늘 시작한 일 하나를 작은 완료 상태로 만들어 보세요.,완료형 문장 · 자체 작성,,,
quote,34,내가 통제할 수 없는 일보다 선택할 수 있는 반응에 힘을 써라.,상황과 반응을 구분하면 불필요한 소모가 줄어듭니다.,평정형 문장 · 자체 작성,,,
quote,35,분명한 요청은 상대를 편하게 한다.,막연한 기대 대신 원하는 결과와 기한을 구체적으로 말하세요.,소통형 문장 · 자체 작성,,,
quote,36,배운 것을 설명할 수 있을 때 이해가 깊어진다.,오늘 알게 된 내용을 쉬운 말로 한 번 말해보세요.,학습형 문장 · 자체 작성,,,
quote,37,기분이 나아지기를 기다리지 말고 몸을 먼저 움직여 보라.,"물 한 잔, 짧은 산책, 책상 정리처럼 작은 행동부터 시작하세요.",회복형 문장 · 자체 작성,,,
quote,38,한계는 실패의 표시가 아니라 자원을 배분하라는 신호다.,시간과 체력을 고려해 꼭 필요한 일에 우선 배치하세요.,균형형 문장 · 자체 작성,,,
quote,39,좋은 질문은 정답을 재촉하지 않고 생각할 공간을 만든다.,상대가 스스로 설명할 수 있도록 열린 질문을 건네보세요.,대화형 문장 · 자체 작성,,,
quote,40,불확실할 때는 되돌릴 수 있는 선택부터 하라.,작게 시험하고 결과를 확인하면 큰 위험을 줄일 수 있습니다.,판단형 문장 · 자체 작성,,,
quote,41,감사는 부족함을 지우지 않지만 이미 있는 것을 보게 한다.,오늘 고마웠던 장면 하나를 구체적으로 떠올려 보세요.,감사형 문장 · 자체 작성,,,
quote,42,남은 에너지를 탓하지 말고 어디에 쓸지 결정하라.,하루 끝에는 중요하지 않은 일을 과감히 줄여도 됩니다.,에너지형 문장 · 자체 작성,,,
quote,43,익숙함은 편안하지만 점검하지 않으면 낡은 방식이 된다.,오래 해온 일일수록 더 나은 방법이 있는지 가끔 살펴보세요.,개선형 문장 · 자체 작성,,,
quote,44,작은 약속을 지키는 사람이 큰 신뢰를 만든다.,"지킬 수 있는 약속만 하고, 어려워지면 미리 알려주세요.",신뢰형 문장 · 자체 작성,,,
quote,45,비교는 방향을 참고할 때 유용하고 가치를 판단할 때 위험하다.,다른 사람의 결과는 정보로만 보고 자신의 기준을 유지하세요.,자기이해형 문장 · 자체 작성,,,
quote,46,어려운 일은 의지보다 환경을 바꾸면 쉬워질 수 있다.,방해 요소를 치우고 필요한 도구를 손이 닿는 곳에 두세요.,환경설계형 문장 · 자체 작성,,,
quote,47,잘 쉬는 사람은 다시 시작할 시간을 정한다.,휴식의 끝을 정해두면 죄책감 없이 쉬고 자연스럽게 돌아올 수 있습니다.,회복형 문장 · 자체 작성,,,
quote,48,오늘의 한 문장이 내일의 결정을 돕는다.,하루를 마치며 배운 점을 한 줄로 남겨보세요.,기록형 문장 · 자체 작성,,,
quote,49,도움을 요청하는 것은 무능의 고백이 아니라 문제 해결의 선택이다.,필요한 도움과 이미 시도한 내용을 함께 말하면 협력이 쉬워집니다.,협력형 문장 · 자체 작성,,,
quote,50,마지막까지 남는 것은 얼마나 바빴는지가 아니라 무엇을 중요하게 지켰는가이다.,오늘의 일정 속에서 놓치고 싶지 않은 가치 하나를 확인하세요.,가치형 문장 · 자체 작성,,,
english,1,Take your time.,"천천히 하세요. 서두르지 않아도 된다는 뜻입니다.
예문: Take your time. There is no rush.
해석: 천천히 하세요. 급할 것 없습니다.",생활영어 · 배려 표현,,,
english,2,That makes sense.,"말이 되네요. 설명을 이해하거나 납득했을 때 씁니다.
예문: That makes sense. Thanks for explaining.
해석: 이해가 되네요. 설명해 줘서 고마워요.",생활영어 · 이해 표현,,,
english,3,I’ll keep that in mind.,"명심할게요. 조언이나 정보를 기억해 두겠다는 뜻입니다.
예문: I’ll keep that in mind when I make the plan.
해석: 계획을 세울 때 그 점을 기억할게요.",생활영어 · 기억 표현,,,
english,4,Sounds good.,"좋아요. 제안이나 계획에 자연스럽게 동의할 때 씁니다.
예문: Let’s meet at three. — Sounds good.
해석: 세 시에 만나요. — 좋아요.",생활영어 · 동의 표현,,,
english,5,Let me check.,"확인해 볼게요. 바로 답하기 전에 정보를 살펴볼 때 씁니다.
예문: Let me check my schedule first.
해석: 먼저 제 일정을 확인해 볼게요.",생활영어 · 확인 표현,,,
english,6,I’m on my way.,"지금 가는 중이에요. 목적지로 출발했거나 이동 중임을 알립니다.
예문: Don’t worry. I’m on my way.
해석: 걱정하지 마세요. 지금 가는 중이에요.",생활영어 · 이동 표현,,,
english,7,It’s up to you.,"당신에게 달렸어요. 선택이나 결정을 상대에게 맡길 때 씁니다.
예문: We can eat here or leave. It’s up to you.
해석: 여기서 먹어도 되고 나가도 돼요. 당신이 정하세요.",생활영어 · 선택 표현,,,
english,8,No worries.,"괜찮아요. 사과나 감사에 부담 없이 답할 때 자주 씁니다.
예문: Sorry I’m late. — No worries.
해석: 늦어서 미안해요. — 괜찮아요.",생활영어 · 안심 표현,,,
english,9,I’m not sure.,"잘 모르겠어요. 확신이 없을 때 단정하지 않고 말하는 표현입니다.
예문: I’m not sure, but I think it starts at nine.
해석: 확실하지 않지만 아홉 시에 시작하는 것 같아요.",생활영어 · 불확실 표현,,,
english,10,Could you say that again?,"다시 말씀해 주시겠어요? 못 들었거나 이해하지 못했을 때 정중하게 묻습니다.
예문: Could you say that again more slowly?
해석: 좀 더 천천히 다시 말씀해 주시겠어요?",생활영어 · 재질문 표현,,,
english,11,What do you mean?,"무슨 뜻인가요? 상대의 의미를 더 분명히 알고 싶을 때 씁니다.
예문: What do you mean by “flexible”?
해석: ‘유연하다’는 말이 무슨 뜻인가요?",생활영어 · 의미 확인,,,
english,12,I’ll get back to you.,"확인한 뒤 다시 연락할게요. 즉답하기 어려울 때 유용합니다.
예문: I’ll get back to you by tomorrow.
해석: 내일까지 다시 연락드릴게요.",생활영어 · 회신 표현,,,
english,13,That works for me.,"저는 괜찮아요. 제안된 시간이나 방법이 자신에게 맞을 때 씁니다.
예문: Friday afternoon works for me.
해석: 금요일 오후면 저는 괜찮아요.",생활영어 · 일정 표현,,,
english,14,I’m looking forward to it.,"기대하고 있어요. 앞으로 있을 일을 기쁜 마음으로 기다릴 때 씁니다.
예문: I’m looking forward to seeing you.
해석: 당신을 만나는 것을 기대하고 있어요.",생활영어 · 기대 표현,,,
english,15,It depends.,"상황에 따라 달라요. 조건에 따라 답이 달라질 때 씁니다.
예문: Is it difficult? — It depends on the task.
해석: 어려운가요? — 과제에 따라 달라요.",생활영어 · 조건 표현,,,
english,16,I didn’t catch that.,"잘 못 들었어요. 상대의 말을 놓쳤을 때 쓰는 자연스러운 표현입니다.
예문: Sorry, I didn’t catch your name.
해석: 죄송하지만 성함을 잘 못 들었어요.",생활영어 · 듣기 표현,,,
english,17,Can I have a minute?,"잠깐 시간 좀 주실래요? 생각하거나 일을 마무리할 시간이 필요할 때 씁니다.
예문: Can I have a minute to think about it?
해석: 그것을 생각할 시간을 잠깐 주실래요?",생활영어 · 시간 요청,,,
english,18,I’ll take care of it.,"제가 처리할게요. 어떤 일에 책임지고 대응하겠다는 뜻입니다.
예문: Leave the report with me. I’ll take care of it.
해석: 보고서는 제게 맡기세요. 제가 처리할게요.",생활영어 · 책임 표현,,,
english,19,I’m running late.,"늦어지고 있어요. 예정 시간보다 도착이 늦을 때 알리는 표현입니다.
예문: I’m running about ten minutes late.
해석: 약 10분 정도 늦을 것 같아요.",생활영어 · 지연 표현,,,
english,20,That’s a good point.,"좋은 지적이에요. 상대의 의견에 타당한 부분이 있음을 인정할 때 씁니다.
예문: That’s a good point. We should check the cost.
해석: 좋은 지적이에요. 비용을 확인해야겠어요.",생활영어 · 의견 표현,,,
english,21,Feel free to ask.,"편하게 물어보세요. 상대가 부담 없이 행동하도록 허용하거나 권할 때 씁니다.
예문: Feel free to ask if you need help.
해석: 도움이 필요하면 편하게 물어보세요.",생활영어 · 권유 표현,,,
english,22,I’m used to it.,"그것에 익숙해요. 이미 익숙한 상태를 나타냅니다.
예문: I’m used to working early in the morning.
해석: 저는 아침 일찍 일하는 데 익숙해요.",생활영어 · 익숙함,,,
english,23,I’m getting used to it.,"점점 익숙해지고 있어요. 아직 적응 과정에 있음을 나타냅니다.
예문: I’m getting used to the new system.
해석: 새 시스템에 점점 익숙해지고 있어요.",생활영어 · 적응 표현,,,
english,24,I’m about to leave.,"막 떠나려던 참이에요. 어떤 행동을 곧 시작하려 할 때 씁니다.
예문: I’m about to leave the office.
해석: 지금 막 사무실을 나가려던 참이에요.",생활영어 · 임박 표현,,,
english,25,It’s worth a try.,"시도해 볼 가치가 있어요. 성공이 확실하지 않아도 해볼 만할 때 씁니다.
예문: The idea may work. It’s worth a try.
해석: 그 아이디어가 통할 수도 있어요. 시도해 볼 만해요.",생활영어 · 도전 표현,,,
english,26,Let’s call it a day.,"오늘은 여기까지 하죠. 일을 그만하고 마무리하자는 뜻입니다.
예문: We’ve done enough. Let’s call it a day.
해석: 충분히 했어요. 오늘은 여기까지 하죠.",생활영어 · 마무리 표현,,,
english,27,I’m in a hurry.,"저는 지금 급해요. 시간이 부족해 서둘러야 할 때 씁니다.
예문: I’m in a hurry, so I’ll call you later.
해석: 지금 급해서 나중에 전화할게요.",생활영어 · 긴급 표현,,,
english,28,It slipped my mind.,"깜빡했어요. 기억하고 있던 일을 순간적으로 잊었을 때 씁니다.
예문: I’m sorry. The meeting slipped my mind.
해석: 미안해요. 회의를 깜빡했어요.",생활영어 · 기억 표현,,,
english,29,I have no idea.,"전혀 모르겠어요. 답이나 상황을 알지 못할 때 씁니다.
예문: I have no idea where he went.
해석: 그가 어디로 갔는지 전혀 모르겠어요.",생활영어 · 모름 표현,,,
english,30,You’ve got this.,"당신은 해낼 수 있어요. 상대를 격려할 때 쓰는 구어 표현입니다.
예문: Take a deep breath. You’ve got this.
해석: 깊게 숨을 쉬어요. 당신은 해낼 수 있어요.",생활영어 · 격려 표현,,,
english,31,I’m glad to hear that.,"그 말을 들으니 기뻐요. 상대의 좋은 소식에 반응할 때 씁니다.
예문: You’re feeling better? I’m glad to hear that.
해석: 몸이 나아졌다고요? 그 말을 들으니 기뻐요.",생활영어 · 공감 표현,,,
english,32,That’s not what I meant.,"제 뜻은 그게 아니었어요. 오해를 부드럽게 바로잡을 때 씁니다.
예문: That’s not what I meant. Let me explain.
해석: 제 뜻은 그게 아니었어요. 설명할게요.",생활영어 · 정정 표현,,,
english,33,It doesn’t matter.,"상관없어요. 선택이나 결과가 중요하지 않을 때 씁니다.
예문: Which seat do you want? — It doesn’t matter.
해석: 어느 자리를 원하세요? — 상관없어요.",생활영어 · 무관 표현,,,
english,34,I’d rather stay home.,"차라리 집에 있고 싶어요. 두 선택 중 선호를 말할 때 씁니다.
예문: I’d rather stay home tonight.
해석: 오늘 밤은 차라리 집에 있고 싶어요.",생활영어 · 선호 표현,,,
english,35,"As far as I know,","제가 아는 한에서는. 자신의 지식 범위를 한정해 말할 때 씁니다.
예문: As far as I know, the store closes at eight.
해석: 제가 아는 한 그 가게는 여덟 시에 문을 닫아요.",생활영어 · 범위 표현,,,
english,36,"In the meantime,","그동안에, 그 사이에. 다른 일을 기다리는 동안 할 일을 연결할 때 씁니다.
예문: The food will take ten minutes. In the meantime, have some water.
해석: 음식은 10분 걸립니다. 그동안 물을 좀 드세요.",생활영어 · 시간 연결,,,
english,37,"So far, so good.","지금까지는 좋아요. 현재까지 일이 순조롭다는 뜻입니다.
예문: How is the project going? — So far, so good.
해석: 프로젝트는 어떻게 되고 있나요? — 지금까지는 좋아요.",생활영어 · 진행 표현,,,
english,38,"By the way,","그런데, 말이 나온 김에. 화제를 자연스럽게 바꿀 때 씁니다.
예문: By the way, did you call Mina?
해석: 그런데 미나에게 전화했어요?",생활영어 · 화제 전환,,,
english,39,"Just in case,","혹시 모르니. 가능성에 대비해 행동할 때 씁니다.
예문: Take an umbrella just in case.
해석: 혹시 모르니 우산을 가져가세요.",생활영어 · 대비 표현,,,
english,40,"At least,","적어도. 최소한의 긍정적인 점이나 기준을 말할 때 씁니다.
예문: We were late, but at least we arrived safely.
해석: 늦었지만 적어도 안전하게 도착했어요.",생활영어 · 최소 표현,,,
english,41,Not yet.,"아직 아니에요. 기대되는 일이 아직 완료되지 않았을 때 씁니다.
예문: Have you finished? — Not yet.
해석: 다 끝냈어요? — 아직이요.",생활영어 · 상태 표현,,,
english,42,Go ahead.,"하세요, 먼저 하세요. 상대에게 행동해도 된다고 허락할 때 씁니다.
예문: Can I open the window? — Go ahead.
해석: 창문을 열어도 될까요? — 그러세요.",생활영어 · 허락 표현,,,
english,43,After you.,"먼저 하세요. 문이나 줄 앞에서 상대에게 순서를 양보할 때 씁니다.
예문: After you. I’m not in a hurry.
해석: 먼저 하세요. 저는 급하지 않아요.",생활영어 · 양보 표현,,,
english,44,Help yourself.,"편하게 드세요 또는 자유롭게 사용하세요. 준비된 것을 상대에게 권할 때 씁니다.
예문: There’s coffee on the table. Help yourself.
해석: 탁자에 커피가 있어요. 편하게 드세요.",생활영어 · 권유 표현,,,
english,45,It’s on me.,"제가 낼게요. 식사비나 비용을 자신이 부담하겠다는 뜻입니다.
예문: Don’t worry about the bill. It’s on me.
해석: 계산은 걱정하지 마세요. 제가 낼게요.",생활영어 · 비용 표현,,,
english,46,I owe you one.,"신세 하나 졌네요. 도움을 받아 나중에 보답하겠다는 친근한 표현입니다.
예문: Thanks for helping me. I owe you one.
해석: 도와줘서 고마워요. 신세 하나 졌네요.",생활영어 · 감사 표현,,,
english,47,What a relief!,"정말 다행이에요. 걱정하던 일이 잘 해결됐을 때 씁니다.
예문: Everyone is safe. What a relief!
해석: 모두 안전해요. 정말 다행이에요!",생활영어 · 안도 표현,,,
english,48,That’s enough for now.,"지금은 이 정도면 충분해요. 잠시 멈추거나 양을 제한할 때 씁니다.
예문: We can review the rest tomorrow. That’s enough for now.
해석: 나머지는 내일 검토해도 돼요. 지금은 이 정도면 충분해요.",생활영어 · 중단 표현,,,
english,49,Let’s keep in touch.,"계속 연락하고 지내요. 헤어질 때 관계를 이어가자는 뜻입니다.
예문: It was great meeting you. Let’s keep in touch.
해석: 만나서 좋았어요. 계속 연락하고 지내요.",생활영어 · 관계 표현,,,
english,50,Have a safe trip.,"안전한 여행 되세요. 떠나는 사람에게 건네는 자연스러운 인사입니다.
예문: Have a safe trip and call me when you arrive.
해석: 안전한 여행 되시고 도착하면 전화하세요.",생활영어 · 여행 인사,,,
bible,1,모든 사람은 하나님의 형상에 따른 존엄을 지닌다.,사람의 가치는 능력이나 성과만으로 정해지지 않습니다. 창조주께서 주신 존엄을 자신과 이웃에게서 함께 보라는 의미입니다.,창세기 1장 26–27절 핵심 의미 요약,,,
bible,2,부르심은 익숙한 자리에서 믿음으로 나아가게 한다.,"아브라함의 여정은 모든 것을 미리 안 뒤 출발한 것이 아니라, 하나님의 말씀을 신뢰하며 한 걸음씩 순종한 과정이었습니다.",창세기 12장 1–3절 핵심 의미 요약,,,
bible,3,하나님은 스스로 계시며 자신의 이름을 알리신다.,모세에게 주어진 계시는 하나님이 인간이 만든 관념이 아니라 스스로 존재하시고 언약 안에서 자신을 드러내시는 분임을 보여줍니다.,출애굽기 3장 13–15절 핵심 의미 요약,,,
bible,4,막힌 길 앞에서는 두려움보다 하나님의 구원을 바라보라.,이스라엘이 바다 앞에 섰을 때 구원은 인간의 힘에서 나오지 않았습니다. 두려움 속에서도 하나님의 인도하심을 기다리라는 의미입니다.,출애굽기 14장 13–14절 핵심 의미 요약,,,
bible,5,하나님을 사랑하는 일은 삶 전체를 향한다.,"신앙은 생각의 일부에 머물지 않고 마음, 생명, 힘을 다해 하나님을 사랑하고 그 말씀을 일상에 새기는 삶으로 이어집니다.",신명기 6장 4–9절 핵심 의미 요약,,,
bible,6,담대함의 근거는 혼자가 아니라는 약속이다.,새로운 책임 앞에서 여호수아가 용기를 낼 수 있었던 이유는 자신의 능력이 아니라 하나님이 함께하신다는 약속이었습니다.,여호수아 1장 9절 핵심 의미 요약,,,
bible,7,하나님은 외모보다 마음을 보신다.,사람은 눈에 보이는 조건으로 쉽게 판단하지만 하나님은 중심을 살피십니다. 겉모습보다 진실한 마음을 돌보라는 교훈입니다.,사무엘상 16장 7절 핵심 의미 요약,,,
bible,8,목자이신 하나님은 필요한 길로 인도하신다.,평안한 때뿐 아니라 어두운 골짜기에서도 하나님의 돌보심과 임재를 신뢰할 수 있다는 고백입니다.,시편 23편 1–4절 핵심 의미 요약,,,
bible,9,길을 맡긴다는 것은 행동을 멈추는 것이 아니라 신뢰하며 걷는 것이다.,"계획과 수고를 하나님께 의탁하고, 조급함 대신 신실한 행동을 계속하라는 권면입니다.",시편 37편 5절 핵심 의미 요약,,,
bible,10,환난 중에도 하나님은 피난처와 힘이 되신다.,세상이 흔들리는 것처럼 느껴질 때에도 도움의 근원은 가까이 계신 하나님이라는 믿음을 붙들라는 말씀입니다.,시편 46편 1–3절 핵심 의미 요약,,,
bible,11,깨끗한 마음과 바른 영은 하나님께 구할 수 있다.,회개는 잘못을 숨기는 일이 아니라 하나님 앞에 인정하고 내면의 회복과 새로움을 구하는 일입니다.,시편 51편 10절 핵심 의미 요약,,,
bible,12,삶의 날을 헤아릴 때 지혜가 자란다.,시간이 무한하지 않음을 기억하면 무엇이 중요한지 더 분명해집니다. 주어진 날을 지혜롭게 사용하라는 기도입니다.,시편 90편 12절 핵심 의미 요약,,,
bible,13,하나님의 긍휼은 우리의 죄보다 크다.,하나님은 노하기를 더디하시고 회개하는 자를 불쌍히 여기십니다. 용서는 죄를 가볍게 보는 것이 아니라 관계를 회복하시는 은혜입니다.,시편 103편 8–12절 핵심 의미 요약,,,
bible,14,말씀은 먼 미래보다 다음 걸음을 비춘다.,모든 답을 한꺼번에 보여주기보다 지금 걸어야 할 길을 분별하도록 하나님의 말씀이 등불이 된다는 고백입니다.,시편 119편 105절 핵심 의미 요약,,,
bible,15,자기 판단만 의지하지 말고 하나님을 신뢰하라.,경험과 지식은 중요하지만 그것이 전부는 아닙니다. 모든 길에서 하나님을 인정하며 방향을 구하라는 권면입니다.,잠언 3장 5–6절 핵심 의미 요약,,,
bible,16,마음을 지키는 일은 삶의 방향을 지키는 일이다.,"생각과 욕망과 감정이 행동의 근원이 되므로, 무엇을 마음에 받아들이고 품는지 주의하라는 가르침입니다.",잠언 4장 23절 핵심 의미 요약,,,
bible,17,모든 일에는 때가 있다.,"삶에는 시작과 끝, 기쁨과 슬픔의 계절이 있습니다. 현재의 때를 분별하고 영원하지 않은 상황에 매이지 말라는 지혜입니다.",전도서 3장 1–8절 핵심 의미 요약,,,
bible,18,하나님을 기다리는 자는 새 힘을 얻는다.,기다림은 무기력이 아니라 하나님께 소망을 두며 지치지 않고 다시 걸을 힘을 받는 신뢰의 시간입니다.,이사야 40장 28–31절 핵심 의미 요약,,,
bible,19,두려워하지 말라는 명령에는 함께하심의 약속이 있다.,하나님은 자기 백성을 붙드시고 도우신다고 말씀하십니다. 불안 속에서도 버려지지 않았음을 기억하라는 뜻입니다.,이사야 41장 10절 핵심 의미 요약,,,
bible,20,하나님은 자기 백성을 이름으로 부르신다.,물과 불 같은 시련을 지날 때에도 하나님께 속한 자를 잊지 않으시고 함께하신다는 언약적 위로입니다.,이사야 43장 1–2절 핵심 의미 요약,,,
bible,21,긴 기다림 속에서도 하나님의 뜻은 소망을 향한다.,"포로 생활이 즉시 끝난다는 약속이 아니라, 긴 시간 속에서도 하나님이 자기 백성을 버리지 않고 회복으로 이끄신다는 말씀입니다.",예레미야 29장 10–14절 핵심 의미 요약,,,
bible,22,하나님의 인자와 긍휼은 아침마다 새롭다.,깊은 슬픔 속에서도 모든 것이 끝난 것은 아닙니다. 하나님의 신실하심이 다시 소망을 품게 한다는 고백입니다.,예레미야애가 3장 21–23절 핵심 의미 요약,,,
bible,23,하나님이 원하시는 삶은 정의와 인애와 겸손을 포함한다.,신앙은 의식에만 머물지 않습니다. 옳게 행하고 자비를 사랑하며 하나님 앞에서 겸손히 걷는 삶으로 드러나야 합니다.,미가 6장 8절 핵심 의미 요약,,,
bible,24,환경이 무너져도 하나님 안에서 기뻐할 수 있다.,하박국의 고백은 손실을 부정하지 않으면서도 구원의 하나님을 최종 소망으로 삼는 믿음을 보여줍니다.,하박국 3장 17–19절 핵심 의미 요약,,,
bible,25,평화를 만드는 사람은 하나님의 뜻을 드러낸다.,갈등을 피하는 데서 그치지 않고 진실과 사랑으로 관계의 회복을 위해 힘쓰는 사람이 복되다는 가르침입니다.,마태복음 5장 9절 핵심 의미 요약,,,
bible,26,빛은 자신을 드러내기보다 선한 일을 통해 하나님을 나타낸다.,제자의 삶은 세상 속에서 숨지 않고 선한 행실로 하나님께 영광이 돌아가게 하는 증언이 되어야 합니다.,마태복음 5장 14–16절 핵심 의미 요약,,,
bible,27,먼저 구할 것을 바로 세우면 삶의 순서가 달라진다.,필요를 무시하라는 뜻이 아니라 하나님의 나라와 의를 우선할 때 염려가 삶의 주인이 되지 않게 하라는 말씀입니다.,마태복음 6장 31–33절 핵심 의미 요약,,,
bible,28,내일의 염려를 오늘 모두 짊어지지 말라.,미래를 준비하되 아직 오지 않은 문제까지 현재의 짐으로 만들지 말고 오늘 맡겨진 일을 충실히 감당하라는 뜻입니다.,마태복음 6장 34절 핵심 의미 요약,,,
bible,29,대접받고 싶은 방식으로 다른 사람을 대하라.,상대의 행동을 기다리기 전에 내가 먼저 존중과 선의를 실천하라는 적극적인 윤리입니다.,마태복음 7장 12절 핵심 의미 요약,,,
bible,30,무거운 짐을 진 사람은 예슈아께 나아가 쉼을 얻는다.,예슈아의 멍에는 억압이 아니라 그분께 배우며 마음의 안식을 얻는 제자의 길이라는 초대입니다.,마태복음 11장 28–30절 핵심 의미 요약,,,
bible,31,하나님 사랑과 이웃 사랑은 분리되지 않는다.,"계명의 중심은 하나님을 전 존재로 사랑하고, 그 사랑을 이웃을 자신처럼 대하는 삶으로 나타내는 것입니다.",마태복음 22장 37–40절 핵심 의미 요약,,,
